BST Size, # Threads, Sec, Ops/s, Speedup
16, 1, 1.00, 26249000, 1.00
16, 2, 1.00, 61156000, 2.33
16, 3, 1.00, 10745000, 0.41
16, 4, 1.00, 4628000, 0.18
16, 5, 1.00, 3642000, 0.14
16, 6, 1.00, 4234000, 0.16
16, 7, 1.00, 2815000, 0.11
16, 8, 1.00, 2463000, 0.09
16, 9, 1.00, 2507000, 0.10
16, 10, 1.00, 2668000, 0.10
16, 11, 1.00, 2686000, 0.10
16, 12, 1.00, 3390000, 0.13
16, 13, 1.00, 2910000, 0.11
16, 14, 1.00, 2958000, 0.11
16, 15, 1.00, 2928000, 0.11
16, 16, 1.00, 3086000, 0.12
16, 17, 1.00, 2973000, 0.11
16, 18, 1.02, 2904000, 0.11
16, 19, 1.00, 2907000, 0.11
16, 20, 1.02, 2727000, 0.10
16, 21, 1.00, 2614000, 0.10
16, 22, 1.00, 2361000, 0.09
16, 23, 1.02, 2539000, 0.10
16, 24, 1.00, 2420000, 0.09
16, 25, 1.01, 2306000, 0.09
16, 26, 1.00, 2532000, 0.10
16, 27, 1.00, 2260000, 0.09
16, 28, 1.01, 2357000, 0.09
16, 29, 1.01, 1937000, 0.07
16, 30, 1.00, 1974000, 0.08
16, 31, 1.00, 2039000, 0.08
16, 32, 1.00, 2033000, 0.08
256, 1, 1.00, 34607000, 1.32
256, 2, 1.00, 65887000, 2.51
256, 3, 1.00, 16775000, 0.64
256, 4, 1.00, 4826000, 0.18
256, 5, 1.00, 3736000, 0.14
256, 6, 1.00, 3968000, 0.15
256, 7, 1.00, 2807000, 0.11
256, 8, 1.00, 2469000, 0.09
256, 9, 1.00, 2504000, 0.10
256, 10, 1.00, 2652000, 0.10
256, 11, 1.00, 2712000, 0.10
256, 12, 1.00, 2757000, 0.11
256, 13, 1.00, 2917000, 0.11
256, 14, 1.00, 2950000, 0.11
256, 15, 1.00, 2865000, 0.11
256, 16, 1.00, 3088000, 0.12
256, 17, 1.00, 2985000, 0.11
256, 18, 1.00, 2846000, 0.11
256, 19, 1.00, 2836000, 0.11
256, 20, 1.00, 2642000, 0.10
256, 21, 1.00, 2548000, 0.10
256, 22, 1.00, 2554000, 0.10
256, 23, 1.00, 2555000, 0.10
256, 24, 1.01, 2534000, 0.10
256, 25, 1.02, 2293000, 0.09
256, 26, 1.00, 2111000, 0.08
256, 27, 1.01, 2321000, 0.09
256, 28, 1.00, 2085000, 0.08
256, 29, 1.00, 2191000, 0.08
256, 30, 1.02, 2019000, 0.08
256, 31, 1.00, 2143000, 0.08
256, 32, 1.01, 2087000, 0.08
4096, 1, 1.00, 34612000, 1.32
4096, 2, 1.00, 65988000, 2.51
